"Title_id";"Movie_title";"Genre";"Duration";"Country";"Rating";"Director";"Score";"Release_date";"Income";"Votes"
"tt0245429";"Sen to Chihiro no kamikakushi";"Animation, Adventure, Family";"125 mins";"Japan";"PG";"Hayao Miyazaki";"8.6";"2003-04-18";"$355,467,056";"626,693"
"tt0118799";"La vita B9 bella";"Comedy, Drama, Romance";"116 mins";"Italy";"Unrated";"Roberto Benigni";"8.6";"1997-12-20";"$230,098,753";"605,648"
"tt6751668";"Gisaengchung";"Comedy, Drama, Thriller";"132 mins";"South Korea";"Unrated";"Bong Joon Ho";"8.6";"2019-11-07";"$257,604,912";"470,931"
"tt0038650";"It's a Wonderful Life";"Drama, Family, Fantasy";"130 mins";"USA";"PG";"Frank Capra";"8.6";"1948-03-11";"$6,130,720";"388,310"
"tt0047478";"Shichinin no samurai";"Action, Adventure, Drama";"207 mins";"Japan";"Unrated";"Akira Kurosawa";"8.6";"1955-08-19";"$322,773";"307,958"
"tt0172495";"Gladiator";"Action, Adventure, Drama";"155 mins";"USA";"R";"Ridley Scott";"8.5";"2000-05-19";"$465,361,176";"1,308,193"
"tt0407887";"The Departed";"Crime, Drama, Thriller";"151 mins";"USA";"R";"Martin Scorsese";"8.5";"2006-10-27";"$291,465,034";"1,159,703"
"tt0482571";"The Prestige";"Drama, Mystery, Sci-Fi";"130 mins";"UK";"PG-13";"Christopher Nolan";"8.5";"2006-12-22";"$109,676,311";"1,155,723"
"tt0088763";"Back to the Future";"Adventure, Comedy, Sci-Fi";"116 mins";"USA";"PG";"Robert Zemeckis";"8.5";"1985-10-18";"$388,774,684";"1,027,330"
"tt0120586";"American History X";"Drama";"119 mins";"USA";"R";"Tony Kaye";"8.5";"1999-08-27";"$23,875,127";"1,014,218"
"tt0110413";"Léon";"Action, Crime, Drama";"110 mins";"France";"Unrated";"Luc Besson";"8.5";"1995-04-07";"$19,552,639";"1,007,598"
"tt0103064";"Terminator 2: Judgment Day";"Action, Sci-Fi";"137 mins";"USA";"R";"James Cameron";"8.4";"1991-12-19";"$520,884,847";"974,970"
"tt0114814";"The Usual Suspects";"Crime, Mystery, Thriller";"106 mins";"USA";"R";"Bryan Singer";"8.4";"1995-11-30";"$23,341,568";"968,947"
"tt0110357";"The Lion King";"Animation, Adventure, Drama";"88 mins";"USA";"G";"Roger Allers, Rob Minkoff";"8.4";"1994-11-25";"$968,511,805";"917,248"
